"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","AIRPORT_WAC_SEQ_ID2","AIRPORT_WAC","AIRPORT_COUNTRY_CODE_ISO","LAT_DEGREES","LATITUDE","LON_DEGREES","LONGITUDE",
1662804,16628,"WI3","Ephraim Gibralter",4501,45,"US",45,45.13583333,87,-87.18805556,
1662901,16629,"MHC","Mocopulli",32401,324,"CL",42,-42.34027778,73,-73.71555556,
1663001,16630,"AK9","Tolstoi Bay Airport",101,1,"US",55,55.73333333,132,-132.43333333,
1663101,16631,"MQM","Mardin Airport",67901,679,"TR",37,37.22333333,40,40.63166667,
1663201,16632,"FON","Arenal",11001,110,"CR",10,10.46388889,84,-84.57333333,
1663202,16632,"FON","Arenal",11001,110,"CR",10,10.46944444,84,-84.57888889,
1663301,16633,"ME6","Cole Dyke",1201,12,"US",44,44.50055556,71,-71.87833333,
1663401,16634,"MQI","Quincy Airport",1301,13,"US",42,42.25000000,71,-71.00000000,
1663501,16635,"NM1","Belen Municipal",8601,86,"US",34,34.64500000,106,-106.83361111,
1663601,16636,"LUS","Lusanga Airport",51701,517,"CD",4,-4.80472222,18,18.72000000,
1663701,16637,"ITB","Itaituba Airport",31601,316,"BR",4,-4.24166667,56,-56.00055556,
1663801,16638,"SOB","Balaton",43702,437,"HU",46,46.68638889,17,17.15916667,
1663901,16639,"AZ6","Gila Bend Municipal",8101,81,"US",32,32.96027778,112,-112.67361111,
